œ “-3	31.10.2017	√-1	970176,2
œ “-3	31.10.2017	√-10	1663159,2
œ “-3	31.10.2017	√-11	831579,6
œ “-3	31.10.2017	√-12	900877,9
œ “-3	31.10.2017	√-13	970176,2
œ “-3	31.10.2017	√-14	900877,9
œ “-3	31.10.2017	√-2	1593860,9
œ “-3	31.10.2017	√-3	970176,2
œ “-3	31.10.2017	√-4	831579,6
œ “-3	31.10.2017	√-5	554386,4
œ “-3	31.10.2017	√-6	485088,1
œ “-3	31.10.2017	√-7	1455264,3
œ “-3	31.10.2017	√-8	1108772,8
œ “-3	31.10.2017	√-9	623684,7
œ “-3	30.11.2017	√-1	1034493,6
œ “-3	30.11.2017	√-10	1773417,6
œ “-3	30.11.2017	√-11	886708,8
œ “-3	30.11.2017	√-12	960601,2
œ “-3	30.11.2017	√-13	1034493,6
œ “-3	30.11.2017	√-14	960601,2
œ “-3	30.11.2017	√-2	1699525,2
œ “-3	30.11.2017	√-3	1034493,6
œ “-3	30.11.2017	√-4	886708,8
œ “-3	30.11.2017	√-5	591139,2
œ “-3	30.11.2017	√-6	517246,8
œ “-3	30.11.2017	√-7	1551740,4
œ “-3	30.11.2017	√-8	1182278,4
œ “-3	30.11.2017	√-9	665031,6
œ “-3	31.12.2017	√-1	962499,3
œ “-3	31.12.2017	√-10	1649998,8
œ “-3	31.12.2017	√-11	824999,4
œ “-3	31.12.2017	√-12	893749,35
œ “-3	31.12.2017	√-13	962499,3
œ “-3	31.12.2017	√-14	893749,35
œ “-3	31.12.2017	√-2	1581248,85
œ “-3	31.12.2017	√-3	962499,3
œ “-3	31.12.2017	√-4	824999,4
œ “-3	31.12.2017	√-5	549999,6
œ “-3	31.12.2017	√-6	481249,65
œ “-3	31.12.2017	√-7	1443748,95
œ “-3	31.12.2017	√-8	1099999,2
œ “-3	31.12.2017	√-9	618749,55
œ “-3	31.01.2018	√-1	0
œ “-3	31.01.2018	√-10	0
œ “-3	31.01.2018	√-11	0
œ “-3	31.01.2018	√-12	0
œ “-3	31.01.2018	√-13	0
œ “-3	31.01.2018	√-14	0
œ “-3	31.01.2018	√-2	0
œ “-3	31.01.2018	√-3	0
œ “-3	31.01.2018	√-4	0
œ “-3	31.01.2018	√-5	0
œ “-3	31.01.2018	√-6	0
œ “-3	31.01.2018	√-7	0
œ “-3	31.01.2018	√-8	0
œ “-3	31.01.2018	√-9	0
œ “-3	28.02.2018	√-1	876804,53
œ “-3	28.02.2018	√-10	1503093,48
œ “-3	28.02.2018	√-11	751546,74
œ “-3	28.02.2018	√-12	814175,635
œ “-3	28.02.2018	√-13	876804,53
œ “-3	28.02.2018	√-14	814175,635
œ “-3	28.02.2018	√-2	1440464,585
œ “-3	28.02.2018	√-3	876804,53
œ “-3	28.02.2018	√-4	751546,74
œ “-3	28.02.2018	√-5	501031,16
œ “-3	28.02.2018	√-6	438402,265
œ “-3	28.02.2018	√-7	1315206,795
œ “-3	28.02.2018	√-8	1002062,32
œ “-3	28.02.2018	√-9	563660,055
œ “-3	31.03.2018	√-1	1005147,64
œ “-3	31.03.2018	√-10	1723110,24
œ “-3	31.03.2018	√-11	861555,12
œ “-3	31.03.2018	√-12	933351,38
œ “-3	31.03.2018	√-13	1005147,64
œ “-3	31.03.2018	√-14	933351,38
œ “-3	31.03.2018	√-2	1651313,98
œ “-3	31.03.2018	√-3	1005147,64
œ “-3	31.03.2018	√-4	861555,12
œ “-3	31.03.2018	√-5	574370,08
œ “-3	31.03.2018	√-6	502573,82
œ “-3	31.03.2018	√-7	1507721,46
œ “-3	31.03.2018	√-8	1148740,16
œ “-3	31.03.2018	√-9	646166,34
œ “-3	30.04.2018	√-1	975587,62
œ “-3	30.04.2018	√-10	1672435,92
œ “-3	30.04.2018	√-11	836217,96
œ “-3	30.04.2018	√-12	905902,79
œ “-3	30.04.2018	√-13	975587,62
œ “-3	30.04.2018	√-14	905902,79
œ “-3	30.04.2018	√-2	1602751,09
œ “-3	30.04.2018	√-3	975587,62
